time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/entropy_loss,rollout/ep_rew_mean,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/clip_range,train/explained_variance,rollout/ep_len_mean,train/n_updates,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
337920,394,856,660,0.00025,-0.675143538042903,3.694000005722046,-0.03283056244254112,0.177734375,0.009851320188317914,0.039237928,0.2,0.9526567459106445,115.54,2636,-0.026097252499312162,,
338432,394,857,661,0.00025,-0.6051325183361769,3.692999839782715,-0.04177315533161163,0.14892578125,0.001974803250050172,0.027462278,0.2,0.9917516708374023,115.52,2640,-0.020688236283604056,,
338944,394,859,662,0.00025,-0.6277654953300953,3.694500207901001,-0.04892338439822197,0.13720703125,0.0016931391110119876,0.024970176,0.2,0.9939022660255432,115.56,2644,-0.012816533970180899,,
339456,394,860,663,0.00025,-0.6051278561353683,3.6940996646881104,-0.06432601064443588,0.13232421875,0.0020421989447640954,0.020751864,0.2,0.9929100275039673,115.64,2648,-0.014483375358395278,,
339968,394,861,664,0.00025,-0.6386794839054346,3.692999839782715,-0.04126521572470665,0.146484375,0.004036366422951687,0.035411432,0.2,0.9823125600814819,115.66,2652,-0.020141885877819732,,
340000,,,,0.00025,-0.6347160208970308,,-0.03476747125387192,0.13916015625,0.003424671223910991,0.019569028,0.2,0.981397807598114,,2656,-0.01674189791083336,3.679999828338623,112.0
340480,394,863,665,,,3.6945998668670654,,,,,,,115.84,,,,
340992,394,865,666,0.00025,-0.6343998145312071,3.6952996253967285,-0.032381821423769,0.13427734375,0.02955790412670467,0.028347088,0.2,0.8412620425224304,116.26,2660,-0.017234338738489896,,
341504,394,866,667,0.00025,-0.6593728475272655,3.6953001022338867,-0.05469973757863045,0.15234375,0.00686815914377803,0.037508085,0.2,0.9621756672859192,116.94,2664,-0.017312397190835327,,
342016,394,867,668,0.00025,-0.6322163762524724,3.696199655532837,-0.05931535363197327,0.1533203125,0.008882860638550483,0.028045472,0.2,0.9406119585037231,116.82,2668,-0.017897429934237152,,
342528,394,869,669,0.00025,-0.6195951346307993,3.6951000690460205,-0.05319510027766228,0.150390625,0.0017864507281046826,0.02093077,0.2,0.9924236536026001,116.62,2672,-0.009413214458618313,,
